********************************************************************************
product = Open Liberty 24.0.0.12 (wlp-1.0.96.cl241220241119-0657)
wlp.install.dir = /Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/
java.home = /opt/homebrew/Cellar/openjdk@17/17.0.13/libexec/openjdk.jdk/Contents/Home
java.version = 17.0.13
java.runtime = OpenJDK Runtime Environment (17.0.13+0)
os = Mac OS X (15.1.1; aarch64) (ja_JP)
process = 4628@469510760noMacBook-Pro.local
Classpath = /Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /Users/ryotokatagiri/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
********************************************************************************
[2024/12/17 17:45:47:320 JST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: サーバー defaultServer が起動されました。
[2024/12/17 17:45:48:150 JST] 00000032 com.ibm.ws.util                                              I SESN0172I: セッション・マネージャーは、セッション ID の生成に Java のデフォルト SecureRandom 実装を使用しています。
[2024/12/17 17:45:48:172 JST] 00000032 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: アプリケーション liberty01 が 0.179 秒で開始しました。
[2024/12/17 17:45:48:186 JST] 00000028 com.ibm.ws.tcpchannel.internal.TCPPort                       I CWWKO0219I: TCP チャネル defaultHttpEndpoint が開始され、現在、ホスト localhost  (IPv4: 127.0.0.1)、ポート 9080 の要求を listen しています。
[2024/12/17 17:45:48:198 JST] 00000028 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: サーバーは次のフィーチャーをインストールしました。[expressionLanguage-4.0, pages-3.0, servlet-5.0]。
[2024/12/17 17:45:48:199 JST] 00000028 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: フィーチャー更新が 0.695 秒で完了しました。
[2024/12/17 17:45:48:199 JST] 00000028 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: defaultServer サーバーは、Smarter Planet に対応する準備ができました。defaultServer サーバーは 0.978 秒で始動しました。
[2024/12/17 17:45:48:200 JST] 00000029 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Web サーバー・プラグイン構成ファイルは、このサーバー用に、/Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml に自動的に生成されました。
[2024/12/17 17:45:50:450 JST] 00000038 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Web アプリケーションが削除されました (default_host): http://localhost:9080/liberty01/
[2024/12/17 17:45:50:466 JST] 00000038 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: アプリケーション liberty01 は正常に停止しました。
[2024/12/17 17:45:50:467 JST] 00000038 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: アプリケーション liberty01 を開始中です。
[2024/12/17 17:45:50:468 JST] 00000038 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: liberty01 アプリケーションは /Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/usr/servers/defaultServer/apps/liberty01.war.xml ロケーションにあるルーズ・アプリケーション定義を使用しています。
[2024/12/17 17:45:50:479 JST] 0000003a com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Web サーバー・プラグイン構成ファイルは、このサーバー用に、/Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml に自動的に生成されました。
[2024/12/17 17:45:50:481 JST] 00000038 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Web モジュールをロード中: liberty01。
[2024/12/17 17:45:50:481 JST] 00000038 com.ibm.ws.webcontainer                                      I SRVE0250I: Web モジュール liberty01 は default_host にバインドされています。
[2024/12/17 17:45:50:482 JST] 00000038 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web アプリケーションが使用可能です (default_host): http://localhost:9080/liberty01/
[2024/12/17 17:45:50:485 JST] 0000003b com.ibm.ws.session.WASSessionCore                            I SESN0176I: アプリケーション・キー default_host/liberty01 に新しいセッション・コンテキストが作成されます。
[2024/12/17 17:45:50:485 JST] 0000003b com.ibm.ws.util                                              I SESN0172I: セッション・マネージャーは、セッション ID の生成に Java のデフォルト SecureRandom 実装を使用しています。
[2024/12/17 17:45:50:488 JST] 0000003b com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0003I: アプリケーション liberty01 が 0.020 秒で更新されました。
[2024/12/17 17:45:50:489 JST] 00000038 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Web サーバー・プラグイン構成ファイルは、このサーバー用に、/Users/ryotokatagiri/hands-on/liberty-app2-en/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml に自動的に生成されました。
[2024/12/17 17:45:59:765 JST] 00000028 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [liberty01] [/liberty01] [com.app2.servlet.IndexServlet]: 初期化が成功しました。
[2024/12/17 17:45:59:990 JST] 00000028 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [liberty01] [/liberty01] [/IndexServlet.jsp]: 初期化が成功しました。
[2024/12/17 17:46:01:885 JST] 00000037 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [liberty01] [/liberty01] [com.app2.servlet.DispServlet]: 初期化が成功しました。
[2024/12/17 17:46:01:953 JST] 00000037 com.ibm.ws.webcontainer.servlet                              I SRVE0242I: [liberty01] [/liberty01] [/disp.jsp]: 初期化が成功しました。
[2024/12/17 17:46:11:656 JST] 00000017 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0085I: JVM が終了するため、サーバー defaultServer が停止しています。
[2024/12/17 17:46:11:658 JST] 00000046 com.ibm.ws.runtime.update.internal.RuntimeUpdateManagerImpl  A CWWKE1100I: サーバーが静止するまで最大 30 秒待機します。
[2024/12/17 17:46:11:663 JST] 00000032 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0220I: TCP チャネル defaultHttpEndpoint は、ホスト localhost  (IPv4: 127.0.0.1)、ポート 9080 での要求の listen を停止しました。
[2024/12/17 17:46:11:664 JST] 00000032 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Web アプリケーションが削除されました (default_host): http://localhost:9080/liberty01/
[2024/12/17 17:46:11:809 JST] 00000018 com.ibm.ws.kernel.launch.internal.ServerCommandListener      A CWWKE0055I: 2024年12月17日火曜日 17:46 にサーバー・シャットダウンが要求されました。 サーバー defaultServer がシャットダウンしています。
[2024/12/17 17:46:12:670 JST] 00000046 com.ibm.ws.runtime.update.internal.RuntimeUpdateManagerImpl  I CWWKE1101I: サーバーの静止が完了しました。
[2024/12/17 17:46:12:678 JST] 00000035 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: アプリケーション liberty01 は正常に停止しました。
[2024/12/17 17:46:12:772 JST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0036I: 25.551 秒後にサーバー defaultServer が停止しました。
